id_node,1,2,3,4,5,6,7,8,cluster
tasselearrings,0.0428108,0.943325,2.53346,-1.1396600000000001,-0.0139107,1.98052,1.07301,-0.21680700000000003,0
gxgcollective,-0.8072699999999999,1.08748,3.6418699999999995,-1.62596,0.0703222,1.60801,1.20923,-0.785827,0
australianbrand,-0.819657,1.08368,3.6602699999999997,-1.6261,0.093837,1.65369,1.14907,-0.696199,0
wanderlust,-0.10929900000000001,0.495209,2.06596,-1.0497,0.0853125,0.6348590000000001,0.474923,-0.489757,0
turquoise,-0.599464,0.9605950000000001,1.8498599999999998,-1.00014,0.164928,1.2897,0.101664,-0.516007,0
australianlabel,-0.782467,1.0563,3.52775,-1.6382,0.12437899999999999,1.61137,1.15204,-0.676017,0
colour,-0.326096,1.27972,2.2004900000000003,-1.33059,0.428893,1.195,-0.186142,-0.838042,0
lifestyle,-0.41229499999999997,0.8762469999999999,2.1956700000000002,-0.792194,0.229341,1.16721,-0.10067899999999999,-0.592921,0
lifestylebrand,-0.774987,0.987311,3.64456,-1.66665,0.12344000000000001,1.6433799999999998,1.22028,-0.8064939999999999,0
winetime,0.172219,0.876511,3.1878900000000003,-1.85185,0.08214930000000001,1.0954700000000002,0.019731,-1.7261099999999998,0
sydney,-0.493746,0.548994,1.81856,-1.6687900000000002,0.11059100000000001,1.53319,0.520048,-0.42740100000000003,0
newyork,0.302161,0.893291,1.6535900000000001,-1.00347,0.342729,1.12835,0.35026599999999997,-0.61966,0
newyorkcity,0.431179,0.9086129999999999,1.95835,-0.807545,0.10678299999999999,1.18983,0.45346899999999996,-0.9808520000000001,0
earrings,-0.713546,1.12311,3.02066,-1.18309,0.100226,1.51116,0.7422,-0.45391099999999995,0
saturdaynight,0.192547,0.95319,2.19202,-1.45041,0.169943,1.26318,-0.34915100000000004,-0.510934,0
australianjewellery,-0.762178,0.9051290000000001,3.44255,-1.56669,0.10170599999999999,1.5505,1.0720399999999999,-0.68599,0
silk,0.00723306,1.12887,2.33682,-0.9593709999999999,0.41445299999999996,1.46789,0.281805,-0.30426,0
weekendvibes,-0.48590200000000006,1.48976,1.86123,-1.1484299999999998,-0.401125,1.03355,0.411864,-1.05819,0
bagcharm,0.204557,0.684279,2.21388,-1.00463,0.25344099999999997,1.84371,0.6640159999999999,-0.275192,0
friyay,-0.231318,1.37147,2.08992,-2.14683,-0.00552253,1.1720700000000002,0.670322,-0.624158,0
necklace,-0.89502,1.2437,2.63389,-1.3819299999999999,0.0866055,1.32959,0.447892,-0.48446300000000003,0
jewellery,-0.6262310000000001,1.00641,2.6811,-1.10032,0.159624,1.41628,0.784794,-0.44383100000000003,0
accessories,-0.694475,0.8271950000000001,2.55756,-0.979356,0.222071,1.5141200000000001,0.6565439999999999,-0.570974,0
colourinspo,-0.395474,1.5131299999999999,2.71785,-1.2135200000000002,-0.377107,1.64419,1.06179,-0.456221,0
naturalstones,-0.43200900000000003,0.7809119999999999,1.54474,-0.873337,0.131741,1.10782,0.631571,-0.561896,0
statementearrings,-0.278242,1.54751,2.74938,-1.13786,-0.304062,1.84735,1.03959,-0.369233,0
sundowners,-0.30590100000000003,1.50114,1.9155799999999998,-1.69462,-0.260922,0.929587,0.41642399999999996,-0.9456459999999999,0
sunday,-0.21959299999999998,0.361644,1.27387,-1.07966,0.12393599999999999,1.2357,0.215248,-0.638825,0
australia,-0.46448100000000003,0.560284,2.09345,-1.73675,-0.015526400000000001,1.0107700000000002,0.212144,-0.741748,0
bloggerstyle,-0.8013939999999999,1.01403,3.35586,-1.46688,0.115547,1.59312,1.0819299999999998,-0.733258,0
friday,-0.131596,1.09794,1.86225,-1.45318,0.25154,1.3931,-0.251604,-1.33758,0
weekend,-0.23010999999999998,0.498676,2.11223,-1.8226799999999999,-0.0479246,0.854777,0.168474,-0.9161459999999999,0
semiprecious,0.376781,1.36733,2.52232,-0.854823,0.31106,1.61934,0.8701639999999999,-0.741498,0
musthave,-0.163351,1.24264,2.40614,-1.52316,0.42780799999999997,0.975252,0.8773549999999999,-0.585378,0
fathersday,-0.244275,1.0956700000000001,1.94325,-1.09453,-0.440042,1.07608,-0.189121,-0.42219799999999996,0
onlineshopping,-0.6933199999999999,0.98793,3.4473300000000004,-1.51803,0.06692039999999999,1.53691,1.05304,-0.649042,0
