source,target,weight
1,gianluca_widmer_photo,0.14285714285714285
1,therakerussia,0.04081632653061224
1,shopofficialboutique,0.0625
1,falierosarti,0.010309278350515464
1,carolineberesforddesign,0.011111111111111112
1,ounass,0.01904761904761905
1,cdg_cgn_nrt,0.05660377358490566
1,jp_boutique_amalfi,0.017241379310344827
1,clau_she,0.015625
1,panamahattersangels,0.015625
1,costanza_co.ro.jewels,0.0392156862745098
1,kathryniveyinteriors,0.007936507936507936
1,jaquebarreto_cerimonial,0.024390243902439025
1,fabiana_rispoli,0.006896551724137931
1,nusaindahsurfboards,0.022222222222222223
1,cabanalife,0.013422818791946308
1,gday_la,0.010309278350515464
1,specchiodivenerevenice,0.012048192771084338
1,semaine_online,0.011111111111111112
1,internodiciotto,0.012953367875647668
1,katiejdevine,0.015873015873015872
1,slsstyle,0.03278688524590164
1,mrswim_ny,0.012345679012345678
1,sharonsuhfoto,0.00816326530612245
1,ashowroominparis,0.015151515151515152
1,veronikpli,0.006779661016949152
1,suziemajer,0.014492753623188406
1,sabrinapilewicz,0.008403361344537815
1,nizhoni.official,0.0213903743315508
1,leggeranellaria,0.016483516483516484
1,die_solette,0.16666666666666666
1,lledoo1900,0.010309278350515464
1,ojip81,0.5
1,natalietheo,0.013513513513513514
1,joshmadans,0.07407407407407407
1,sosummy,0.023809523809523808
1,biarritz_blu,0.038461538461538464
1,susanhonnell,0.0058823529411764705
1,carlosmedinagv,0.034482758620689655
1,x.plora,0.08571428571428572
1,theucurve,0.05
1,hailiechoi,0.07142857142857142
1,carlavanlunn,0.11538461538461539
1,pineapplesandlove,0.027777777777777776
1,casiebamford,0.017543859649122806
1,leathersatchel,0.023121387283236993
1,svennuomo,0.015151515151515152
1,archeinfootwear,0.05172413793103448
1,onmyheelssite,0.02564102564102564
1,chris_orlikowski,0.021897810218978103
1,trasierra_life,0.010869565217391304
1,sjwbags,0.017857142857142856
1,homestaycom,0.03418803418803419
1,capital_gian,0.10526315789473684
1,vonbehnke,0.047619047619047616
1,francesephotography,0.022727272727272728
1,kearsleynotsearsley,0.058823529411764705
