username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,noise
123_ever_joy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109051254089
29_flowers,0.00027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00141766630316
3piano1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4nc4,0.00104620749782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00140252454418,0.0,0.00268817204301,0.0,0.0,0.0,0.0,0.0,0.0,0.00151264642769
5am_cuts,0.0014553014553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109051254089
8knotstowels,0.000950950950951,0.0,0.0014245014245,0.0,0.0,0.0,0.0,0.0,0.0,0.000394011032309,0.00102880658436,0.0,0.0,0.0,0.000771604938272,0.0,0.0,0.0,0.0,0.0,0.0,0.00109051254089
_____bettina_____,0.000395517468688,0.000353481795688,0.000625390869293,0.0,0.0,0.000677506775068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00132102738694
___letizia___,0.00135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__ash_fro__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109051254089
_carlycooper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_fashionedge_,0.00277272090744,0.0189231808966,0.00232496346486,0.0,0.000277572168764,0.000431778929188,0.000199282582702,0.0,0.0,2.75603571822e-05,0.0,0.0,0.0,0.000287852619459,0.000431778929188,0.0,0.00012336540834,0.000235515779557,0.0,0.0,0.0,0.00924110497737
_jeuxdeau_,0.000783026016671,0.0,0.000479271507309,0.0,0.000333778371162,0.0,0.0,0.0,0.0,9.94233446013e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00248677626148
_katiej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_m_granados,0.000900900900901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000727008360596
_mmmiriam,0.00123384253819,0.0,0.0,0.0,0.0,0.0,0.0,0.0130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000663790242283
_rachelanthony,0.000617760617761,0.00124223602484,0.0002442002442,0.0,0.0,0.000793650793651,0.0043956043956,0.0,0.0,0.000101317122594,0.0021164021164,0.0,0.0,0.0021164021164,0.000396825396825,0.0,0.0,0.000865800865801,0.0,0.0,0.0,0.00176559173288
a_capri_life,0.0021021021021,0.0,0.0,0.0578703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123,0.0,0.0177133655395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145401672119
abicrissy,0.000675675675676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00099963649582
ablondon_abhi,0.00286168521463,0.00153452685422,0.000603318250377,0.00147058823529,0.00252100840336,0.00196078431373,0.0,0.0,0.00168067226891,0.0,0.0,0.0,0.00153452685422,0.0,0.0,0.0,0.000560224089636,0.00855614973262,0.0,0.0,0.0,0.00184745653987
abnormal_lera,0.00019305019305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00101261878797
abstractmindsinteriors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abubakralsiddiq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adacanamares,0.00562228895562,0.00134192163178,0.000474833808167,0.0,0.000220458553792,0.0,0.000474833808167,0.0,0.0,0.0,0.0017146776406,0.0,0.000536768652711,0.0,0.0,0.000324886289799,0.0,0.0,0.0,0.000771604938272,0.0,0.00104339162863
